,ftd_date,count,volume
0,2025-01-01,14,17238.79760073823
1,2025-01-02,56,24393.088596642807
2,2025-01-03,30,13037.845150522347
3,2025-01-04,15,11067.599613796503
4,2025-01-05,14,6476.207856309009
5,2025-01-06,89,44304.76490168453
6,2025-01-07,57,36631.18393384596
7,2025-01-08,46,40321.953283417206
8,2025-01-09,29,21526.204263041338
9,2025-01-10,29,19731.793039420358
10,2025-01-11,7,4310.836728814256
11,2025-01-12,13,8963.536105938341
12,2025-01-13,32,17152.689744101863
13,2025-01-14,48,25854.94957619254
14,2025-01-15,46,24226.491499227202
15,2025-01-16,27,12630.821468278697
16,2025-01-17,26,12124.556574923548
17,2025-01-18,7,3432.3855381677813
18,2025-01-19,13,5123.51175069883
19,2025-01-20,30,14353.694930589985
20,2025-01-21,33,10848.003751705322
21,2025-01-22,26,15319.223820058998
22,2025-01-23,19,12523.451839094598
23,2025-01-24,32,16433.181208053687
24,2025-01-25,6,2299.482051386706
25,2025-01-26,7,1463.2108453473131
26,2025-01-27,29,14021.823562049194
27,2025-01-28,35,19392.395505992834
28,2025-01-29,20,15944.824767801858
29,2025-01-30,16,9039.03380738523
30,2025-01-31,25,7628.2257220945385
31,2025-02-01,11,3439.627742539253
32,2025-02-02,3,5364.407912602093
33,2025-02-03,51,30794.192232643043
34,2025-02-04,41,83384.84287939199
35,2025-02-05,32,17867.372089167973
36,2025-02-06,21,11550.025881608106
37,2025-02-07,30,22525.433302909296
38,2025-02-08,1,657.706472505609
39,2025-02-09,2,3354.1846016835943
40,2025-02-10,31,15547.08131531991
41,2025-02-11,19,5613.937563580875
42,2025-02-12,22,13767.832558723778
43,2025-02-13,25,20878.59413605357
44,2025-02-14,19,5412.771565994129
45,2025-02-15,5,2887.9106191918136
46,2025-02-16,8,3718.777621850323
47,2025-02-17,31,12785.152202684818
48,2025-02-18,24,20685.19178177231
49,2025-02-19,26,18531.036929486778
50,2025-02-20,25,15868.558620689657
51,2025-02-21,21,11110.007144671663
52,2025-02-22,2,399.3301252835309
53,2025-02-23,7,3665.6937250573146
54,2025-02-24,20,6841.177220840506
55,2025-02-25,43,21663.259711177558
56,2025-02-26,48,23849.726802807912
57,2025-02-27,41,19564.52665092835
58,2025-02-28,57,27632.6618246687
59,2025-03-01,2,761.8856537850714
60,2025-03-02,4,1091.859507622144
61,2025-03-03,21,16570.29937472368
62,2025-03-04,12,12867.397763578276
63,2025-03-05,17,5264.502092572927
64,2025-03-06,17,16718.74905802562
65,2025-03-07,15,4910.329616463985
66,2025-03-08,4,3865.6564394176094
67,2025-03-09,3,1222.7286957610668
68,2025-03-10,20,7696.248588368154
69,2025-03-11,17,23489.985141158984
70,2025-03-12,15,17515.904814152746
71,2025-03-13,11,12498.901381972113
72,2025-03-14,18,4534.392698295033
73,2025-03-16,6,1512.4126233552631
74,2025-03-17,23,11624.670282263036
75,2025-03-18,13,8948.085626911316
76,2025-03-19,12,10345.041955043791
77,2025-03-20,15,7438.725103512589
78,2025-03-21,20,5716.8093359836
79,2025-03-23,1,133.83749922726616
80,2025-03-24,22,13784.49583718779
81,2025-03-25,10,1758.3555938886154
82,2025-03-26,12,4729.560295930949
83,2025-03-27,10,9084.47985235312
84,2025-03-28,12,3418.8729709788495
85,2025-03-29,1,665.6465658889255
86,2025-03-30,4,534.2605882595093
87,2025-03-31,21,22008.504922648513
88,2025-04-01,26,19781.141723730816
89,2025-04-02,13,2568.4095645701527
90,2025-04-03,14,9484.147499537523
91,2025-04-04,11,4779.246387643248
92,2025-04-05,2,892.7818144073071
93,2025-04-06,6,582.4720895956157
94,2025-04-07,29,39704.665089052185
95,2025-04-08,21,10394.55929038282
96,2025-04-09,22,24550.610926633668
97,2025-04-10,17,6068.707414434524
98,2025-04-11,10,8946.867402974025
99,2025-04-12,1,139.8821621399684
100,2025-04-13,2,1048.1342595438618
101,2025-04-14,28,42871.261397803275
102,2025-04-15,15,6438.272968798271
103,2025-04-16,15,4217.3012215435865
104,2025-04-17,18,16175.972342264477
105,2025-04-18,11,6965.264090880995
106,2025-04-19,3,2188.000594029998
107,2025-04-20,2,141.61142842982989
108,2025-04-21,27,26706.668652658213
109,2025-04-22,12,5885.859049984477
110,2025-04-23,19,18992.052201880255
111,2025-04-24,10,10704.566255550073
112,2025-04-25,20,6606.3138820638815
113,2025-04-26,1,0.6976248976248975
114,2025-04-27,2,139.5290745290745
115,2025-04-28,22,19653.94459459459
116,2025-04-29,12,1414.266329800345
117,2025-04-30,11,1498.5262785837226
118,2025-05-01,17,6232.103058693856
119,2025-05-02,14,10548.796256328922
120,2025-05-03,3,1108.6018277161186
121,2025-05-04,1,694.0303073565705
122,2025-05-05,6,1624.0668153685888
123,2025-05-06,13,5249.828322197476
124,2025-05-07,24,20265.83829578243
125,2025-05-08,17,12599.123529519731
126,2025-05-09,20,12950.545053868755
127,2025-05-10,3,609.0007736471354
128,2025-05-11,2,101.9663606077842
129,2025-05-12,26,20727.999073330902
130,2025-05-13,18,5579.289229086932
131,2025-05-14,11,4861.382842509603
132,2025-05-15,15,6308.942743417024
133,2025-05-16,10,8561.127261576203
134,2025-05-18,4,1928.4351573830097
135,2025-05-19,21,10782.575156192577
136,2025-05-20,18,17148.764622670522
137,2025-05-21,8,8172.877242565743
138,2025-05-22,15,25879.72505949812
139,2025-05-23,13,4523.766523924782
140,2025-05-24,4,1517.3172265874737
141,2025-05-25,9,6548.0180513579635
142,2025-05-26,19,10567.821496648834
143,2025-05-27,10,9572.00097727828
144,2025-05-28,11,11633.457749495197
