login;created_at;transaction_id;amount_USD
27055533;2025-02-28 11:10:00;13209719;331.6450050968399
3867240;2025-02-28 13:46:00;35665693;663.2900101936798
3863685;2025-02-28 13:50:00;35665703;663.2900101936798
6634953;2025-02-28 14:02:00;6102388;79.59480122324157
6634950;2025-02-28 14:06:00;6102425;79.59480122324157
3872130;2025-02-28 14:18:00;35665916;331.6450050968399
5471691;2025-02-28 14:23:00;14728123;331.6450050968399
5462757;2025-02-25 17:46:00;14713967;667.7905719193334
6634659;2025-02-23 14:26:00;6056620;333.2448840961195
6634680;2025-02-23 14:03:00;6056618;666.489768192239
6634467;2025-02-23 08:44:00;6056606;799.7877218306869
3872136;2025-02-28 14:41:00;35666073;66.32900101936798
6634791;2025-02-25 16:16:00;6073599;4006.7434315160003
6632871;2025-02-25 16:06:00;6073517;667.7905719193334
6607926;2025-02-25 15:26:00;6072996;2.1369298301418667
6633876;2025-02-25 13:55:00;6071976;667.7905719193334
6634563;2025-02-25 06:16:00;6068775;801.3486863032
6634722;2025-02-25 06:16:00;6068774;333.8952859596667
6634683;2025-02-25 03:36:00;6067970;106.84649150709333
6634746;2025-02-25 03:26:00;6067925;333.8952859596667
5454597;2025-02-25 15:14:00;14712718;200.3371715758
5469762;2025-02-25 14:50:00;14712600;333.8952859596667
5471487;2025-02-25 14:46:00;14712572;166.94764297983335
5471490;2025-02-25 13:23:00;14712055;166.94764297983335
5471478;2025-02-25 08:34:00;14710493;667.7905719193334
5466147;2025-02-25 07:49:00;14710370;33.38952859596667
5437665;2025-02-25 04:05:00;14709565;133.55811438386667
5469720;2025-02-27 06:11:00;14720743;100.27116697505265
3871803;2025-02-23 13:41:00;35604547;666.489768192239
3871797;2025-02-23 08:47:00;35604537;666.489768192239
3871785;2025-02-23 01:20:00;35604530;33.32448840961195
3869892;2025-02-25 19:10:00;35628862;318.53610280552203
3871776;2025-02-25 16:16:00;35625755;667.7905719193334
3871905;2025-02-25 14:30:00;35623913;66.77905719193333
3856461;2025-02-25 13:29:00;35622892;333.8952859596667
3871314;2025-02-25 11:00:00;35621606;3338.9528595966667
3871800;2025-02-25 09:36:00;35620402;667.7905719193334
3871884;2025-02-25 08:15:00;35619487;333.8952859596667
3858714;2025-02-25 08:08:00;35619448;1431.1019072460083
3720285;2025-02-25 05:14:00;35618132;133.55811438386667
3871818;2025-02-25 04:06:00;35617660;133.55811438386667
3871518;2025-02-25 03:41:00;35617494;333.8952859596667
3871743;2025-02-25 02:17:00;35616748;66.77905719193333
3871917;2025-02-27 14:59:00;35652068;334.23722325017553
3869946;2025-02-27 14:52:00;35651943;668.4744465003511
3871806;2025-02-27 12:58:00;35650637;267.3897786001404
3871143;2025-02-27 06:56:00;35646561;1336.9488930007021
3872016;2025-02-27 04:36:00;35645414;721.9524022203791
3871632;2025-03-01 02:16:00;35671653;430.63102170460564
6087519;2025-03-01 03:06:00;17440725;331.25463208046585
6083898;2025-03-02 03:46:00;17440754;449.97846374730796
6087702;2025-03-02 10:23:00;17440758;33.08665174612558
3872070;2025-03-02 03:47:00;35671685;66.17330349225116
3872211;2025-03-02 14:06:00;35671701;661.7330349225116
6087573;2025-03-02 15:11:00;17440764;132.34660698450233
